favorited,retweet_count,followers_count,name,friends_count,screen_name,text,created_at,truncated,is_retweet,_id,retweeted_from,user_mentions count,user_mentions,hashtags count,hashtags,urls count,urls
FALSE,7,37588,   ,336,adriannalunaxxx,Thats me! RT @PaulJNodine @AdriannaLunaxxx Look who the background is on my iPad.  Do you know her? haha muah xoxo http://t.co/rjlbSymm,2/11/2013 23:05,FALSE,FALSE,3.01105E+17,FALSE,2,"PaulJNodine, AdriannaLunaxxx",0,,0,
FALSE,1,37588,   ,336,adriannalunaxxx,Cooking up organic paleo goodness in a crockpot 2day! Its my 1st time!Kinda excited!Now off 2 set 2 b a good lil slut http://t.co/xc0ftPYe,2/7/2013 18:35,FALSE,FALSE,2.99587E+17,FALSE,0,,0,,0,
FALSE,31075,37588,   ,336,adriannalunaxxx,"RT @rihanna: And even though ya fed up, ya gotta keep ya head up",2/7/2013 1:27,FALSE,TRUE,2.99328E+17,rihanna,1,rihanna,0,,0,
FALSE,7,37588,   ,336,adriannalunaxxx,Relaxing at home after a great shoot 2day 4 @MileHighMovies by @melissamonetxxx! Thanks 4 having me! http://t.co/Y2jypr4h,2/3/2013 0:40,FALSE,FALSE,2.97867E+17,FALSE,2,"MileHighMovies, melissamonetxxx",0,,0,
FALSE,2,37588,   ,336,adriannalunaxxx,Aah! i love it!! RT @BettyLouSpense Everyone's boo. @dazzlemaster @provocativsiren @AdriannaLunaxxx @dpiercexxx http://t.co/Clzutk95,1/23/2013 2:24,FALSE,FALSE,2.93907E+17,FALSE,5,"BettyLouSpense, dazzlemaster, provocativsiren, AdriannaLunaxxx, dpiercexxx",0,,0,
FALSE,6,37588,   ,336,adriannalunaxxx,"RT @101models: at @AEexpo, say ""Hi to @101models ladies @VeronicaAvluvXX @ChristyMack @PresleyHartxxx @PMarizzle @YuriLuv @Kirsten_Price ...",1/17/2013 0:28,FALSE,TRUE,2.91704E+17,101models,9,"101models, AEexpo, 101models, VeronicaAvluvXX, ChristyMack, PresleyHartxxx, PMarizzle, YuriLuv, Kirsten_Price",0,,0,
FALSE,9,37588,   ,336,adriannalunaxxx,Hanging w/ the beautiful @penthouse girls! @JennaRoseXXX @RealAngSommers Nicole Aniston. Pic by @industrybyrick http://t.co/NgCDxtqj,1/14/2013 5:22,FALSE,FALSE,2.9069E+17,FALSE,4,"Penthouse, JennaRoseXXX, RealAngSommers, industrybyrick",0,,0,
FALSE,5,37588,   ,336,adriannalunaxxx,Party time @xbiz awards w/ my @penthouse dolls @provocativsiren @MilaVanDamme! http://t.co/fxqC6Xwt,1/12/2013 9:06,FALSE,FALSE,2.90022E+17,FALSE,4,"XBIZ, Penthouse, provocativsiren, MilaVanDamme",0,,0,
FALSE,0,37588,   ,336,adriannalunaxxx,@MrBillFox thx!,1/9/2013 1:07,FALSE,FALSE,2.88814E+17,FALSE,1,MrBillFox,0,,0,
FALSE,24,37588,   ,336,adriannalunaxxx,Pls take a min n vote 4 me 4 @JustSexyDanni DanniGirl of the year! http://t.co/WyKep0zb Thx loves! Xoxo http://t.co/KMclEsBF,1/7/2013 16:54,FALSE,FALSE,2.88328E+17,FALSE,1,JustSexyDanni,0,,1,http://pnthd.com/lime/index.php/survey/index/sid/539212/lang/en
FALSE,0,37588,   ,336,adriannalunaxxx,@GoluRaz thank u :),1/5/2013 17:46,FALSE,FALSE,2.87616E+17,FALSE,1,GoluRaz,0,,0,
FALSE,4,37603,   ,336,adriannalunaxxx,#superslut,2/18/2013 22:40,FALSE,FALSE,3.03635E+17,FALSE,0,,1,superslut,0,
FALSE,0,37588,   ,336,adriannalunaxxx,Sooo tired.. Wish i cld sleep all day but off 2 work i go instead #sleepyslut,2/18/2013 20:31,FALSE,FALSE,3.03603E+17,FALSE,0,,1,sleepyslut,0,
FALSE,2,37588,   ,336,adriannalunaxxx,"Hot pics!RT @TheRealApollo @JustSexyDanni of the Year, @AdriannaLunaxxx wants 2 B yr ""Cabana Girl"" in latest gallery http://t.co/bc5RPVsI",2/18/2013 19:41,FALSE,FALSE,3.0359E+17,FALSE,3,"TheRealApollo, JustSexyDanni, AdriannaLunaxxx",0,,1,http://j.mp/12DwDGZ
FALSE,1,37588,   ,336,adriannalunaxxx,4 loco ... Nuff said,2/18/2013 7:53,FALSE,FALSE,3.03412E+17,FALSE,0,,0,,0,
FALSE,0,37588,   ,336,adriannalunaxxx,Nowhere i'd rather b then in bed w/ my babygirl! Eventho she snores so loud i cant hear the tv  #puppylove  http://t.co/XwTBPusg,2/17/2013 7:09,FALSE,FALSE,3.03038E+17,FALSE,0,,1,puppylove,0,
FALSE,0,37588,   ,336,adriannalunaxxx,"Such a gr8 day at SD zoo! Saw monkeys,gorillas,elephants, flamingos,leopards w/ the wildest animal of them all @dpiercexxx!",2/17/2013 7:01,FALSE,FALSE,3.03036E+17,FALSE,1,dpiercexxx,0,,0,
FALSE,1,37588,   ,336,adriannalunaxxx,"Shacked up in a beautiful room w/ my , champagne n roses  #luckyslut #crazyinlove",2/16/2013 5:16,FALSE,FALSE,3.02648E+17,FALSE,0,,2,"luckyslut, crazyinlove",0,
FALSE,1,37588,   ,336,adriannalunaxxx,I just love being made 2 wait around 4 ppl... Its not that hard 2 b on time!,2/15/2013 22:34,FALSE,FALSE,3.02546E+17,FALSE,0,,0,,0,
FALSE,2,37588,   ,336,adriannalunaxxx,Tweet ur vote 4 me lovers!RT @GrlsofPenthouse Just askin': Which of yr favorite starlets wld U lk 2 C on the cover of #TheGirlsOfPenthouse?,2/15/2013 17:20,FALSE,FALSE,3.02467E+17,FALSE,1,GrlsofPenthouse,1,TheGirlsOfPenthouse,0,
FALSE,1,37588,   ,336,adriannalunaxxx,Hott pics! RT @TheRealApollo @YuriLuv shows @AdriannaLunaxxx the Rabbit Hole in the latest @JustSexyDanni feature http://t.co/tTx2aEvn,2/15/2013 17:16,FALSE,FALSE,3.02467E+17,FALSE,4,"TheRealApollo, YuriLuv, AdriannaLunaxxx, JustSexyDanni",0,,1,http://j.mp/XT2Cx4
FALSE,6,37588,   ,336,adriannalunaxxx,RT @pornstartweet: NEW STARLET #XRCO2013 Noms @AnikkaAlbrite @Remymeow @AdriannaLunaxxx @MaddyOreillyxxx @RileyReidx3 @thebonnierotten h ...,2/15/2013 7:12,FALSE,TRUE,3.02314E+17,pornstartweet,7,"pornstartweet, AnikkaAlbrite, Remymeow, AdriannaLunaxxx, MaddyOreillyxxx, RileyReidx3, thebonnierotten",1,XRCO2013,0,
FALSE,0,37588,   ,336,adriannalunaxxx,@ArielXoxo i wldve loved that :) next time. Have a gnite babe!,2/15/2013 5:54,FALSE,FALSE,3.02295E+17,FALSE,1,ArielXoxo,0,,0,
FALSE,778,37588,   ,336,adriannalunaxxx,"RT @HornyFacts: Play with that pussy, not her heart..",2/15/2013 5:33,FALSE,TRUE,3.0229E+17,HornyFacts,1,HornyFacts,0,,0,
FALSE,0,37588,   ,336,adriannalunaxxx,@ArielXoxo that makes 2 of us! #asexual ;) happy vday babe,2/15/2013 5:31,FALSE,FALSE,3.02289E+17,FALSE,1,ArielXoxo,1,asexual,0,
